,0
129,"It's awesome man suryaa...
Must watch
After a long time surya got a hit and movie was damn good man .."
130,"Superv amazing movie
Vera level
Common man dream
Simply super"
131,Vere level act👑🔥there's no surya. It's only maara
132,"This is the best ever movie i have watched it was really amazing , hats of suriya sir"
133,"Suriya Suriya Suriya !!! Stands tall in every aspect of the movie . Be Proud cine fans that we were leaving in golden era of great actors ! Aparna (Heroin) and Urvasi those two women carrying the roles perfectly ., And Maaras father played by a Actor who will come in Short duration but he will make you cry, intense everything , Karunas who takes comical side for movie and it is good , co stars done best !! Sudha Mam Hatsoff You having a clear winner"
134,Screenplay and acting music everything is perfect comboo
135,"Just giving 10 rating for surya's Acting ,Movie also good though must watch"
136,"Normally NGK and bandobast and more films are getting disasters but this is inspiring and realstic, surya acted well and story line is simply great"
137,"This SOORARAI POTRU movie is really great and i personally liked surya sir's attitude and the look of him, good screenplay. Overall cast did their job well and this is a perfect comback and perfect treat for kollywood fans. G. V 's music is 🔥🔥🔥. Sutha kongara mam gave her best and the output is also best 💯..."
138,"A great drama. U will laugh u will cry u will fall in love, u will bhet battered. U will get up and u will win"
139,A fully engaging movie for all the cine lovers out there
140,"Some sentimental scenes made me cry😭
The performance of Surya and the way he merged with the character is absolutely mind blowing"
141,"Direction--outstanding, writing--outstanding, acting-- excellent from all, music-- excellent, cinematography-- excellent, editing-good,production design--good, make-up and costumes--good, vfx-- could have been better but works.
Overall an adrenaline rush film with great writing and impactful performance from all cast."
142,"Suriya is back with a bang. Sudha Kongara has written and directed an outstanding depiction of Capt. Gopinath's life story. Every actor from Aparna Balamurali to Karunas to Paresh Rawal have done justice to their roles. But this is a Suriya film through and through. You will enjoy the power of the common man through Suriya's eyes. Only regret is that people will not be able to enjoy this inspiring movie in the theatre.
G.V Prakash's music adds so much gravitas to the film. Happy Diwali 2020! Enjoy this film with friends and family. This is a Diwali treat!"
143,That's a great movie acted by Suriya and directed by sudha kongara.
144,"One of the best performance of surya, best screen play, heart touching scenes, Natural acting, Motivational movie for people who just failed in life."
145,Must watch. Masterpiece and top notch. Truly inspiring to whoever watching.
146,"We enjoyed the movie
Surya is back Just pure acting performances by the whole team and especially Surya and Paresh Rawal. We can say that Surya is back and expecting more good movies from him in future....."
147,"VERA LEVEL... MOVIE SUPER TO WATCH
SUPER ACTING
GOOD CASTING
GOOD STORY
MUST WATCH MOVIE"
148,"Excellent plot,Suriya as usual Nailed
Other Leading characters shown their best
Kudos the whole team"
149,Very good inspirational story best acting and good screan play. One of the best movie in Indian cinema. This is one of my best favourite movie ever
150,"Semma movie guys and acting and direction was so awesome, special mention Vijay sir's duologue was really awesome"
151,"Very wonder fully and fantastic movie surya
Best movie ever in tamil
My rating 10/9.9"
152,The movie is soo good it brings tears in your eyes Surya acting 10 out of 10 must watch movie
153,"One of the best of this year. Director sudha kongara nailed it each and every scenes was so so perfect. Best Acting, Direction, Music, Cinematography...."
